City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nianzishan,47.5167,122.8833,4.94,49,100,8.65,CN,1680476020
1,artigas,-30.4,-56.4667,17.85,59,35,3.99,UY,1680476020
2,kaitangata,-46.2817,169.8464,15.52,68,49,2.45,NZ,1680476020
3,cidreira,-30.1811,-50.2056,20.48,65,9,3.46,BR,1680475836
4,atuona,-9.8,-139.0333,27.26,76,40,6.46,PF,1680475828
5,ostrovnoy,68.0531,39.5131,-8.48,86,100,2.31,RU,1680476021
6,turkistan,43.0,68.0,9.26,17,97,10.78,KZ,1680476021
7,barrow,71.2906,-156.7887,-13.99,78,100,5.14,US,1680476021
8,pisco,-13.7,-76.2167,26.03,78,0,8.75,PE,1680476021
9,kawambwa,-9.7915,29.0791,15.92,96,88,1.08,ZM,1680476022
10,yellowknife,62.456,-114.3525,-10.71,62,75,0.0,CA,1680475573
11,korla,41.7597,86.1469,1.56,25,0,9.76,CN,1680476023
12,cherskiy,68.75,161.3,-27.75,93,30,2.15,RU,1680476023
13,jamestown,42.097,-79.2353,6.12,33,0,2.06,US,1680475734
14,vila franca do campo,37.7167,-25.4333,13.23,60,29,6.69,PT,1680476024
15,vao,-22.6667,167.4833,25.55,81,47,2.77,NC,1680476024
16,cabo san lucas,22.8909,-109.9124,29.78,50,100,0.89,MX,1680475762
17,bethel,41.3712,-73.414,8.93,28,0,6.17,US,1680475827
18,nabire,-3.3667,135.4833,23.77,91,100,1.88,ID,1680476024
19,ushuaia,-54.8,-68.3,11.81,54,40,3.6,AR,1680475963
20,beringovskiy,63.05,179.3167,-4.63,85,99,4.03,RU,1680476024
21,georgetown,5.4112,100.3354,25.96,88,20,1.03,MY,1680475728
22,broome,42.2506,-75.833,3.59,36,0,2.57,US,1680476024
23,rikitea,-23.1203,-134.9692,26.86,81,29,7.19,PF,1680476024
24,hasaki,35.7333,140.8333,12.22,60,100,9.28,JP,1680476025
25,cardston,49.2,-113.3019,2.16,55,100,4.63,CA,1680476025
26,albany,42.6001,-73.9662,5.36,26,8,2.24,US,1680475738
27,rognan,67.0953,15.3878,-0.62,79,100,3.61,NO,1680476025
28,grindavik,63.8424,-22.4338,4.26,87,100,7.2,IS,1680476025
29,hamilton,39.1834,-84.5333,13.54,54,0,3.6,US,1680475637
30,bambous virieux,-20.3428,57.7575,26.23,89,75,3.09,MU,1680476025
31,new norfolk,-42.7826,147.0587,15.51,66,60,1.34,AU,1680475837
32,lampang,18.3333,99.5,22.93,42,41,1.05,TH,1680476025
33,avarua,-21.2078,-159.775,27.03,69,75,4.63,CK,1680475823
34,kalmunai,7.4167,81.8167,24.73,87,7,2.78,LK,1680476026
35,mataura,-46.1927,168.8643,14.15,56,70,1.21,NZ,1680476026
36,thompson,55.7435,-97.8558,-11.91,48,20,5.66,CA,1680475823
37,awbari,26.5921,12.7805,21.62,11,0,4.04,LY,1680476026
38,bluff,-46.6,168.3333,14.33,66,92,4.11,NZ,1680476026
39,iwanai,42.9744,140.5089,7.28,54,3,0.7,JP,1680476026
40,hermanus,-34.4187,19.2345,18.78,94,38,1.88,ZA,1680475826
41,lagoa,39.05,-27.9833,13.67,59,69,9.44,PT,1680476026
42,clyde river,70.4692,-68.5914,-22.87,77,0,3.09,CA,1680476026
43,longyearbyen,78.2186,15.6401,-8.09,93,75,1.54,SJ,1680476026
44,saskylakh,71.9167,114.0833,-8.35,96,100,1.69,RU,1680476026
45,busselton,-33.65,115.3333,14.76,91,1,4.09,AU,1680475820
46,magadan,59.5667,150.8,-5.26,78,81,2.84,RU,1680476027
47,okha,53.5739,142.9478,-1.49,76,99,2.64,RU,1680476027
48,luderitz,-26.6481,15.1594,15.81,86,4,5.46,NA,1680475841
49,ayaviri,-14.8864,-70.5889,9.88,57,80,2.03,PE,1680476027
50,sur,22.5667,59.5289,26.12,65,3,0.63,OM,1680476027
51,manadhoo,5.7667,73.3833,27.93,67,39,3.0,MV,1680476028
52,kutum,14.2,24.6667,20.26,15,77,3.68,SD,1680475516
53,port alfred,-33.5906,26.891,20.66,93,100,0.45,ZA,1680476028
54,aklavik,68.2191,-135.0107,-9.26,82,100,3.19,CA,1680475528
55,katsuura,35.1333,140.3,11.46,72,100,8.81,JP,1680476028
56,vaini,-21.2,-175.2,28.09,69,20,6.17,TO,1680475995
57,itarema,-2.9248,-39.9167,24.36,88,100,1.71,BR,1680476028
58,punta arenas,-53.15,-70.9167,15.06,41,75,3.6,CL,1680476028
59,torbay,47.6666,-52.7314,4.86,93,100,7.72,CA,1680476028
60,ahipara,-35.1667,173.1667,19.0,60,96,5.27,NZ,1680475528
61,mochalishche,56.3306,48.3547,5.06,87,100,2.09,RU,1680476028
62,chuy,-33.6971,-53.4616,16.87,78,81,2.7,UY,1680475827
63,airai,-8.9266,125.4092,16.87,87,60,0.78,TL,1680476028
64,tasiilaq,65.6145,-37.6368,-1.91,92,99,2.89,GL,1680476029
65,ajdovscina,45.886,13.9095,13.36,93,99,2.97,SI,1680476029
66,ilulissat,69.2167,-51.1,-14.99,85,99,2.06,GL,1680476029
67,qarqin,37.4185,66.0436,15.9,60,100,6.35,AF,1680476029
68,ancud,-41.8697,-73.8203,11.1,73,6,1.76,CL,1680475863
69,skibbereen,51.55,-9.2667,9.5,92,95,5.13,IE,1680476029
70,tunceli,39.1083,39.5471,8.35,86,89,0.73,TR,1680476029
71,qaanaaq,77.484,-69.3632,-25.68,64,4,0.72,GL,1680476029
72,ribeira grande,38.5167,-28.7,13.76,67,72,0.89,PT,1680476029
73,shache,38.4167,77.2406,13.73,22,100,2.32,CN,1680476029
74,hithadhoo,-0.6,73.0833,27.7,71,13,2.79,MV,1680476029
75,baripada,21.935,86.7214,24.98,43,87,2.23,IN,1680476029
76,iqaluit,63.7506,-68.5145,-11.15,57,75,4.63,CA,1680475832
77,guerrero negro,27.9769,-114.0611,17.53,61,1,9.33,MX,1680476030
78,cape town,-33.9258,18.4232,21.32,86,75,4.63,ZA,1680476030
79,provideniya,64.3833,-173.3,-10.91,57,75,2.0,RU,1680475831
80,kavaratti,10.5669,72.642,27.76,68,9,4.45,IN,1680476030
81,narsaq,60.9167,-46.05,4.12,81,100,3.81,GL,1680476030
82,carnarvon,-24.8667,113.6333,23.6,79,64,4.01,AU,1680476030
83,pochutla,15.7432,-96.4661,30.46,52,18,3.37,MX,1680476030
84,udachnyy,66.4167,112.4,-5.86,73,100,10.69,RU,1680476030
85,mazagao,-0.115,-51.2894,28.03,96,49,1.77,BR,1680476030
86,palas,-5.6519,105.6801,25.33,85,97,4.05,ID,1680476031
87,mancio lima,-7.6142,-72.8958,24.04,100,75,1.03,BR,1680476031
88,sao filipe,14.8961,-24.4956,24.86,60,0,3.23,CV,1680476031
89,nemuro,43.3236,145.575,1.33,69,0,5.72,JP,1680476031
90,arraial do cabo,-22.9661,-42.0278,23.92,78,75,4.12,BR,1680475836
91,suez,29.9737,32.5263,18.32,39,0,3.01,EG,1680476031
92,baykit,61.67,96.37,-12.18,100,100,1.14,RU,1680475543
93,leningradskiy,69.3833,178.4167,-21.08,86,100,5.11,RU,1680476031
94,muli,2.9167,73.5667,27.67,71,76,2.2,MV,1680475523
95,saint george,37.1041,-113.5841,22.19,21,0,4.47,US,1680476031
96,alugan,12.2188,125.4808,25.06,81,22,0.58,PH,1680475542
97,tual,-5.6667,132.75,27.46,74,98,2.14,ID,1680476031
98,hobart,-42.8794,147.3294,15.7,68,20,3.6,AU,1680475818
99,jurado,7.1053,-77.7641,26.28,88,89,0.82,CO,1680476032
100,muswellbrook,-32.2667,150.9,18.47,75,88,2.16,AU,1680476032
101,souillac,-20.5167,57.5167,26.21,89,75,3.09,MU,1680475850
102,talnakh,69.4865,88.3972,-9.14,96,100,3.95,RU,1680476032
103,quelimane,-17.8786,36.8883,23.94,73,98,2.09,MZ,1680476032
104,mount isa,-20.7333,139.5,22.87,33,84,3.09,AU,1680475534
105,saint anthony,45.0205,-93.218,7.96,57,0,7.2,US,1680475879
106,homer,59.6425,-151.5483,3.36,60,0,5.66,US,1680476032
107,mahebourg,-20.4081,57.7,26.25,89,75,3.09,MU,1680476032
108,isla vista,34.4133,-119.861,20.72,68,0,3.09,US,1680476032
109,kruisfontein,-34.0033,24.7314,18.82,71,100,3.93,ZA,1680476032
110,lata,40.1629,-8.3327,11.62,76,99,1.02,PT,1680476032
111,dunedin,-45.8742,170.5036,16.71,56,17,2.24,NZ,1680475511
112,alice springs,-23.7,133.8833,19.56,62,70,5.66,AU,1680476033
113,butaritari,3.0707,172.7902,27.49,78,33,4.88,KI,1680475838
114,margate,51.3813,1.3862,6.5,79,7,0.45,GB,1680476033
115,sept-iles,50.2001,-66.3821,-4.0,57,40,10.29,CA,1680475952
116,kholodnyy,62.7167,147.95,-20.65,86,85,0.47,RU,1680476033
117,santa cruz,-17.8,-63.1667,30.7,66,20,3.09,BO,1680475979
118,rio grande,-32.035,-52.0986,18.06,68,56,4.23,BR,1680475808
119,madison,34.7334,-86.5667,21.03,30,0,1.79,US,1680475529
120,karratha,-20.7377,116.8463,27.7,75,53,2.81,AU,1680475845
121,noumea,-22.2763,166.4572,28.99,99,26,2.93,NC,1680476033
122,lebu,-37.6167,-73.65,12.27,82,0,6.52,CL,1680476033
123,caravelas,-17.7125,-39.2481,26.14,75,47,4.82,BR,1680476033
124,staraya russa,57.9944,31.3608,-2.28,95,97,4.82,RU,1680476033
125,ixtapa,20.7,-105.2,31.37,33,30,2.94,MX,1680476033
126,ler,8.3018,30.1418,27.53,13,9,2.35,SS,1680476033
127,farafangana,-22.8167,47.8333,22.57,91,84,1.2,MG,1680476033
128,atar,20.5169,-13.0499,29.92,6,1,3.16,MR,1680476033
129,pleasantville,39.3898,-74.524,12.11,32,0,4.12,US,1680476034
130,bowen,-20.0167,148.2333,25.7,81,88,3.91,AU,1680476034
131,newcastleton,55.1796,-2.8127,2.24,87,52,1.85,GB,1680476034
132,lozova,48.8894,36.3176,7.86,71,100,6.04,UA,1680476034
133,touros,-5.1989,-35.4608,25.8,81,100,2.86,BR,1680475763
134,san cristobal,7.7669,-72.225,26.1,78,97,1.51,VE,1680475847
135,tuktoyaktuk,69.4541,-133.0374,-17.0,71,20,5.14,CA,1680476034
136,port-cartier,50.0334,-66.8654,-4.18,69,7,11.57,CA,1680475812
137,north platte,41.1239,-100.7654,19.94,26,0,5.14,US,1680476034
138,puerto ayora,-0.7393,-90.3518,29.98,89,84,3.58,EC,1680476034
139,taseyevo,57.2169,94.8978,-7.72,79,100,3.48,RU,1680476034
140,matagami,49.7502,-77.6328,-3.94,68,100,4.12,CA,1680476034
141,east kilbride,55.7667,-4.1667,6.9,81,100,1.33,GB,1680476034
142,dzaoudzi,-12.7887,45.2699,24.94,94,96,2.06,YT,1680476034
143,pevek,69.7008,170.3133,-26.71,99,100,1.21,RU,1680476035
